sample,sex,date,species,sample.name,ENA.run.accession
202,F,2008,Ptremula,leaf-01,ERR260308
207,M,2010,Ptremula,leaf-02,ERR260309
213.1,F,2008,Ptremula,leaf-03,ERR260310
221,M,2008,Ptremula,leaf-04,ERR260311
226.1,F,2010,Ptremula,leaf-05,ERR260312
229.1,M,2008,Ptremula,leaf-06,ERR260313
229,M,2010,Ptremula,leaf-07,ERR260314
235,M,2010,Ptremula,leaf-08,ERR260315
236,F,2010,Ptremula,leaf-09,ERR260316
239,F,2010,Ptremula,leaf-10,ERR260317
244,F,2010,Ptremula,leaf-11,ERR260318
303,M,2008,Ptremula,leaf-12,ERR260319
305.3,F,2008,Ptremula,leaf-13,ERR260320
309.1,M,2008,Ptremula,leaf-14,ERR260321
310.3,F,2008,Ptremula,leaf-15,ERR260322
337.1,M,2008,Ptremula,leaf-16,ERR260323
349.2,F,2008,Ptremula,leaf-17,ERR260324
alidhem,F,2010,P.hybrid,alidhem,NA
ersboda,M,2010,P.hybrid,ersboda,NA
sculPark,M,2010,P.hybrid,sculPark,NA
